A,B,C,Step,InitCondNum,State
1,0,1,59,8,101
1,0,1,60,8,101
1,0,1,61,8,101
1,0,1,62,8,101
1,0,1,63,8,101
1,0,1,64,8,101
1,0,1,65,8,101
1,0,1,66,8,101
1,0,1,67,8,101
1,0,1,68,8,101
1,0,1,69,8,101
1,0,1,70,8,101
1,0,1,71,8,101
1,0,1,72,8,101
1,0,1,73,8,101
1,0,1,74,8,101
1,0,1,75,8,101
1,0,1,76,8,101
1,0,1,77,8,101
1,0,1,78,8,101
1,0,1,79,8,101
1,0,1,80,8,101
1,0,1,81,8,101
1,0,1,82,8,101
1,0,1,83,8,101
1,0,1,84,8,101
1,0,1,85,8,101
1,0,1,86,8,101
1,0,1,87,8,101
1,0,1,88,8,101
1,0,1,89,8,101
1,0,1,90,8,101
1,0,1,91,8,101
1,0,1,92,8,101
1,0,1,93,8,101
1,0,1,94,8,101
1,0,1,95,8,101
1,0,1,96,8,101
1,0,1,97,8,101
1,0,1,98,8,101
1,0,1,99,8,101
1,0,1,100,8,101
1,0,1,101,8,101
0,1,1,1,9,011
0,1,1,2,9,011
0,1,1,3,9,011
0,1,1,4,9,011
0,1,1,5,9,011
0,1,1,6,9,011
0,1,1,7,9,011
0,1,1,8,9,011
0,1,1,9,9,011
0,1,1,10,9,011
0,1,1,11,9,011
0,1,1,12,9,011
0,1,1,13,9,011
0,1,1,14,9,011
0,1,1,15,9,011
0,1,1,16,9,011
0,1,1,17,9,011
0,1,1,18,9,011
0,1,1,19,9,011
0,1,1,20,9,011
0,1,1,21,9,011
0,1,1,22,9,011
0,1,1,23,9,011
0,1,1,24,9,011
0,1,1,25,9,011
0,1,1,26,9,011
0,1,1,27,9,011
0,1,1,28,9,011
0,1,1,29,9,011
0,1,1,30,9,011
0,1,1,31,9,011
0,1,1,32,9,011
0,1,1,33,9,011
0,1,1,34,9,011
0,1,1,35,9,011
0,1,1,36,9,011
0,1,1,37,9,011
0,1,1,38,9,011
0,1,1,39,9,011
0,1,1,40,9,011
0,1,1,41,9,011
0,1,1,42,9,011
0,1,1,43,9,011
0,1,1,44,9,011
0,1,1,45,9,011
0,1,1,46,9,011
0,1,1,47,9,011
0,1,1,48,9,011
0,1,1,49,9,011
0,1,1,50,9,011
0,1,1,51,9,011
0,1,1,52,9,011
0,1,1,53,9,011
0,1,1,54,9,011
0,1,1,55,9,011
0,1,1,56,9,011
0,1,1,57,9,011
0,1,1,58,9,011
0,1,1,59,9,011
0,1,1,60,9,011
0,1,1,61,9,011
0,1,1,62,9,011
0,1,1,63,9,011
0,1,1,64,9,011
0,1,1,65,9,011
0,1,1,66,9,011
0,1,1,67,9,011
0,1,1,68,9,011
0,1,1,69,9,011
0,1,1,70,9,011
0,1,1,71,9,011
0,1,1,72,9,011
0,1,1,73,9,011
0,1,1,74,9,011
0,1,1,75,9,011
0,1,1,76,9,011
0,1,1,77,9,011
0,1,1,78,9,011
0,1,1,79,9,011
0,1,1,80,9,011
0,1,1,81,9,011
0,1,1,82,9,011
0,1,1,83,9,011
0,1,1,84,9,011
0,1,1,85,9,011
0,1,1,86,9,011
0,1,1,87,9,011
0,1,1,88,9,011
0,1,1,89,9,011
0,1,1,90,9,011
0,1,1,91,9,011
0,1,1,92,9,011
0,1,1,93,9,011
0,1,1,94,9,011
0,1,1,95,9,011
0,1,1,96,9,011
0,1,1,97,9,011
0,1,1,98,9,011
0,1,1,99,9,011
0,1,1,100,9,011
0,1,1,101,9,011
1,0,0,1,10,100
1,0,0,2,10,100
1,0,0,3,10,100
1,0,0,4,10,100
1,0,0,5,10,100
1,0,0,6,10,100
1,0,0,7,10,100
1,0,0,8,10,100
1,0,0,9,10,100
1,0,0,10,10,100
1,0,0,11,10,100
1,0,0,12,10,100
1,0,0,13,10,100
1,0,0,14,10,100
1,0,0,15,10,100
1,0,0,16,10,100
1,0,0,17,10,100
1,0,0,18,10,100
1,0,0,19,10,100
1,0,0,20,10,100
1,0,0,21,10,100
1,0,0,22,10,100
1,0,0,23,10,100
1,0,0,24,10,100
1,0,0,25,10,100
1,0,0,26,10,100
1,0,0,27,10,100
1,0,0,28,10,100
1,0,0,29,10,100
1,0,0,30,10,100
1,0,0,31,10,100
1,0,0,32,10,100
1,0,0,33,10,100
1,0,0,34,10,100
1,0,0,35,10,100
1,0,0,36,10,100
1,0,0,37,10,100
1,0,0,38,10,100
1,0,0,39,10,100
1,0,0,40,10,100
1,0,0,41,10,100
1,0,0,42,10,100
1,0,0,43,10,100
1,0,0,44,10,100
1,0,0,45,10,100
1,0,0,46,10,100
1,0,0,47,10,100
1,0,0,48,10,100
1,0,0,49,10,100
1,0,0,50,10,100
1,0,0,51,10,100
1,0,0,52,10,100
1,0,0,53,10,100
1,0,0,54,10,100
1,0,0,55,10,100
1,0,0,56,10,100
1,0,0,57,10,100
1,0,0,58,10,100
1,0,0,59,10,100
1,0,0,60,10,100
1,0,0,61,10,100
1,0,0,62,10,100
1,0,0,63,10,100
1,0,0,64,10,100
1,0,0,65,10,100
1,0,0,66,10,100
1,0,0,67,10,100
1,0,0,68,10,100
1,0,0,69,10,100
1,0,0,70,10,100
1,0,0,71,10,100
1,0,0,72,10,100
1,0,0,73,10,100
1,0,0,74,10,100
1,0,0,75,10,100
1,0,0,76,10,100
1,0,0,77,10,100
1,0,0,78,10,100
1,0,0,79,10,100
1,0,0,80,10,100
1,0,0,81,10,100
1,0,0,82,10,100
1,0,0,83,10,100
1,0,0,84,10,100
1,0,0,85,10,100
1,0,0,86,10,100
1,0,0,87,10,100
1,0,0,88,10,100
1,0,0,89,10,100
1,0,0,90,10,100
1,0,0,91,10,100
1,0,0,92,10,100
1,0,0,93,10,100
1,0,0,94,10,100
1,0,0,95,10,100
1,0,0,96,10,100
1,0,0,97,10,100
1,0,0,98,10,100
1,0,0,99,10,100
1,0,0,100,10,100
1,0,0,101,10,100
1,0,0,1,11,100
1,0,0,2,11,100
1,0,0,3,11,100
1,0,0,4,11,100
1,0,0,5,11,100
1,0,0,6,11,100
1,0,0,7,11,100
1,0,0,8,11,100
1,0,0,9,11,100
1,0,0,10,11,100
1,0,0,11,11,100
1,0,0,12,11,100
1,0,0,13,11,100
1,0,0,14,11,100
1,0,0,15,11,100
1,0,0,16,11,100
1,0,0,17,11,100
1,0,0,18,11,100
1,0,0,19,11,100
1,0,0,20,11,100
1,0,0,21,11,100
1,0,0,22,11,100
1,0,0,23,11,100
1,0,0,24,11,100
1,0,0,25,11,100
1,0,0,26,11,100
1,0,0,27,11,100
1,0,0,28,11,100
1,0,0,29,11,100
1,0,0,30,11,100
1,0,0,31,11,100
1,0,0,32,11,100
1,0,0,33,11,100
1,0,0,34,11,100
1,0,0,35,11,100
1,0,0,36,11,100
1,0,0,37,11,100
1,0,0,38,11,100
1,0,0,39,11,100
1,0,0,40,11,100
1,0,0,41,11,100
1,0,0,42,11,100
1,0,0,43,11,100
1,0,0,44,11,100
1,0,0,45,11,100
1,0,0,46,11,100
1,0,0,47,11,100
1,0,0,48,11,100
1,0,0,49,11,100
1,0,0,50,11,100
1,0,0,51,11,100
1,0,0,52,11,100
1,0,0,53,11,100
1,0,0,54,11,100
1,0,0,55,11,100
1,0,0,56,11,100
1,0,0,57,11,100
1,0,0,58,11,100
1,0,0,59,11,100
1,0,0,60,11,100
1,0,0,61,11,100
1,0,0,62,11,100
1,0,0,63,11,100
1,0,0,64,11,100
1,0,0,65,11,100
1,0,0,66,11,100
1,0,0,67,11,100
1,0,0,68,11,100
1,0,0,69,11,100
1,0,0,70,11,100
1,0,0,71,11,100
1,0,0,72,11,100
1,0,0,73,11,100
1,0,0,74,11,100
1,0,0,75,11,100
1,0,0,76,11,100
1,0,0,77,11,100
1,0,0,78,11,100
1,0,0,79,11,100
1,0,0,80,11,100
1,0,0,81,11,100
1,0,0,82,11,100
1,0,0,83,11,100
1,0,0,84,11,100
1,0,0,85,11,100
1,0,0,86,11,100
1,0,0,87,11,100
1,0,0,88,11,100
1,0,0,89,11,100
1,0,0,90,11,100
1,0,0,91,11,100
1,0,0,92,11,100
1,0,0,93,11,100
1,0,0,94,11,100
1,0,0,95,11,100
1,0,0,96,11,100
1,0,0,97,11,100
1,0,0,98,11,100
1,0,0,99,11,100
1,0,0,100,11,100
1,0,0,101,11,100
1,0,0,1,12,100
1,0,0,2,12,100
1,0,0,3,12,100
1,0,0,4,12,100
1,0,0,5,12,100
1,0,0,6,12,100
1,0,0,7,12,100
1,0,0,8,12,100
1,0,0,9,12,100
1,0,0,10,12,100
1,0,0,11,12,100
1,0,0,12,12,100
1,0,0,13,12,100
1,0,0,14,12,100
1,0,0,15,12,100
1,0,0,16,12,100
1,0,0,17,12,100
1,0,0,18,12,100
1,0,0,19,12,100
1,0,0,20,12,100
1,0,0,21,12,100
1,0,0,22,12,100
1,0,0,23,12,100
1,0,0,24,12,100
1,0,0,25,12,100
1,0,0,26,12,100
1,0,0,27,12,100
1,0,0,28,12,100
1,0,0,29,12,100
1,0,0,30,12,100
1,0,0,31,12,100
1,0,0,32,12,100
1,0,0,33,12,100
1,0,0,34,12,100
1,0,0,35,12,100
1,0,0,36,12,100
1,0,0,37,12,100
1,0,0,38,12,100
1,0,0,39,12,100
1,0,0,40,12,100
1,0,0,41,12,100
1,0,0,42,12,100
1,0,0,43,12,100
1,0,0,44,12,100
1,0,0,45,12,100
1,0,0,46,12,100
1,0,0,47,12,100
1,0,0,48,12,100
