A,B,C,Step,InitCondNum
1,0,1,1,81
1,0,1,2,81
1,0,1,3,81
1,0,1,4,81
1,0,1,5,81
1,0,1,6,81
1,0,1,7,81
1,0,1,8,81
1,0,1,9,81
1,0,1,10,81
1,0,1,11,81
1,1,1,1,82
0,1,1,2,82
0,1,1,3,82
0,1,1,4,82
0,1,1,5,82
0,1,1,6,82
0,1,1,7,82
0,1,1,8,82
0,1,1,9,82
0,1,1,10,82
0,1,1,11,82
0,0,0,1,83
0,0,0,2,83
0,0,0,3,83
0,0,0,4,83
0,0,0,5,83
0,0,0,6,83
0,0,0,7,83
0,0,0,8,83
0,0,0,9,83
0,0,0,10,83
0,0,0,11,83
0,0,0,1,84
0,0,0,2,84
0,0,0,3,84
0,0,0,4,84
0,0,0,5,84
0,0,0,6,84
0,0,0,7,84
0,0,0,8,84
0,0,0,9,84
0,0,0,10,84
0,0,0,11,84
1,1,1,1,85
0,1,1,2,85
0,1,1,3,85
0,1,1,4,85
0,1,1,5,85
0,1,1,6,85
0,1,1,7,85
0,1,1,8,85
0,1,1,9,85
0,1,1,10,85
0,1,1,11,85
1,0,1,1,86
1,0,1,2,86
1,0,1,3,86
1,0,1,4,86
1,0,1,5,86
1,0,1,6,86
1,0,1,7,86
1,0,1,8,86
1,0,1,9,86
1,0,1,10,86
1,0,1,11,86
1,0,0,1,87
1,0,0,2,87
1,0,0,3,87
1,0,0,4,87
1,0,0,5,87
1,0,0,6,87
1,0,0,7,87
1,0,0,8,87
1,0,0,9,87
1,0,0,10,87
1,0,0,11,87
1,0,0,1,88
1,0,0,2,88
1,0,0,3,88
1,0,0,4,88
1,0,0,5,88
1,0,0,6,88
1,0,0,7,88
1,0,0,8,88
1,0,0,9,88
1,0,0,10,88
1,0,0,11,88
1,1,0,1,89
1,1,0,2,89
1,1,0,3,89
1,1,0,4,89
1,1,0,5,89
1,1,0,6,89
1,1,0,7,89
1,1,0,8,89
1,1,0,9,89
1,1,0,10,89
1,1,0,11,89
0,1,1,1,90
0,1,1,2,90
0,1,1,3,90
0,1,1,4,90
0,1,1,5,90
0,1,1,6,90
0,1,1,7,90
0,1,1,8,90
0,1,1,9,90
0,1,1,10,90
0,1,1,11,90
1,0,0,1,91
1,0,0,2,91
1,0,0,3,91
1,0,0,4,91
1,0,0,5,91
1,0,0,6,91
1,0,0,7,91
1,0,0,8,91
1,0,0,9,91
1,0,0,10,91
1,0,0,11,91
1,0,0,1,92
1,0,0,2,92
1,0,0,3,92
1,0,0,4,92
1,0,0,5,92
1,0,0,6,92
1,0,0,7,92
1,0,0,8,92
1,0,0,9,92
1,0,0,10,92
1,0,0,11,92
1,1,1,1,93
1,0,1,2,93
1,0,1,3,93
1,0,1,4,93
1,0,1,5,93
1,0,1,6,93
1,0,1,7,93
1,0,1,8,93
1,0,1,9,93
1,0,1,10,93
1,0,1,11,93
0,1,0,1,94
0,1,0,2,94
0,1,0,3,94
0,1,0,4,94
0,1,0,5,94
0,1,0,6,94
0,1,0,7,94
0,1,0,8,94
0,1,0,9,94
0,1,0,10,94
0,1,0,11,94
1,1,1,1,95
1,1,0,2,95
1,1,0,3,95
1,1,0,4,95
1,1,0,5,95
1,1,0,6,95
1,1,0,7,95
1,1,0,8,95
1,1,0,9,95
1,1,0,10,95
1,1,0,11,95
0,0,1,1,96
0,0,1,2,96
0,0,1,3,96
0,0,1,4,96
0,0,1,5,96
0,0,1,6,96
0,0,1,7,96
0,0,1,8,96
0,0,1,9,96
0,0,1,10,96
0,0,1,11,96
1,1,0,1,97
1,1,0,2,97
1,1,0,3,97
1,1,0,4,97
1,1,0,5,97
1,1,0,6,97
1,1,0,7,97
1,1,0,8,97
1,1,0,9,97
1,1,0,10,97
1,1,0,11,97
1,1,1,1,98
0,1,1,2,98
0,1,1,3,98
0,1,1,4,98
0,1,1,5,98
0,1,1,6,98
0,1,1,7,98
0,1,1,8,98
0,1,1,9,98
0,1,1,10,98
0,1,1,11,98
1,1,0,1,99
1,1,0,2,99
1,1,0,3,99
1,1,0,4,99
1,1,0,5,99
1,1,0,6,99
1,1,0,7,99
1,1,0,8,99
1,1,0,9,99
1,1,0,10,99
1,1,0,11,99
1,1,0,1,100
1,1,0,2,100
1,1,0,3,100
1,1,0,4,100
1,1,0,5,100
1,1,0,6,100
1,1,0,7,100
1,1,0,8,100
1,1,0,9,100
1,1,0,10,100
1,1,0,11,100
